timestamp,room,actual_co2,actual_humidity,pred_co2,pred_humidity,pred_energy
1788329876.020046,0101,397.98,66.00,399.46069129225344,65.4673715721462,0.0142139787932583
1788329888.9329665,0101,400.99,66.00,400.1737627665792,65.46737157214619,0.013584296427091583
1788329901.4702408,0101,399.65,66.00,399.7592263456773,65.46737157214619,0.01411609395844114
1788329913.6824996,0101,401.50,66.00,400.1405591162971,65.4673715721462,0.013478104248810014
1788329925.809687,0101,399.51,66.00,399.83548965709684,65.46737157214619,0.014174495597785402
1788329938.4723759,0101,401.24,66.00,400.1329869695368,65.46737157214619,0.013577889126552853
1788329950.5779223,0101,401.36,66.00,400.1625659872661,65.46737157214619,0.013478104248810014
1788329963.2990265,0101,399.35,66.00,399.90981283330336,65.46737157214619,0.014149606708896511
1788329975.3270998,0101,401.20,66.00,400.13298696953683,65.46737157214619,0.013577889126552853
1788329987.7152698,0101,398.33,66.00,399.7850428657123,65.46737157214622,0.014362110010951513
1788330000.6009755,0101,398.40,66.00,399.7850428657123,65.4673715721462,0.014187004440794248
1788330012.8026211,0101,401.61,66.00,400.29895636294793,65.46737157214619,0.013478104248810005
1788330025.2993612,0101,399.93,66.00,400.1174954731586,65.4673715721462,0.014103093958441134
1788330037.11578,0101,401.86,66.00,400.50593676685895,65.46737157214619,0.013475040618812715
1788330049.7287567,0101,400.60,66.00,400.2213604123739,65.46737157214619,0.013749958023246819
1788330061.5891712,0101,397.53,66.00,399.4633162922535,65.46737157214619,0.014200645459924971
1788330074.2451348,0101,399.82,66.00,400.0369731748855,65.46737157214622,0.014123093958441135
1788330087.8107693,0101,398.28,67.00,399.7792650879344,65.62253813901826,0.014395443344284851
1788330099.6651857,0101,400.52,67.00,400.2200536940922,65.62253813901825,0.013724056383902556
1788330112.1231236,0101,398.21,67.00,399.77926508793445,65.62253813901825,0.014853978793258298
1788330124.482595,0101,398.25,67.00,399.77926508793445,65.62253813901825,0.014853978793258303
1788330137.0191603,0101,400.68,67.00,400.1852770790406,65.62253813901825,0.013709922315740839
1788330149.2893038,0101,398.34,67.00,399.7850428657123,65.62253813901825,0.014362110010951522
1788330163.4820244,0101,401.08,67.00,400.185592097742,65.62253813901826,0.013573672602336323
1788330175.3350139,0101,400.77,67.00,400.18790574803865,65.62253813901825,0.01370763599095451
1788330187.5548275,0101,401.28,67.00,400.1575144566844,65.62253813901825,0.013524770915476676
